,Nemotecnico,fecha,Cantidad,Volumen,Precio Cierre,Precio Mayor,Precio Medio,Precio Menor,Variacion%,Variacion Absoluta
0,BCOLOMBIA ,2015-03-04,113522,2762384100.0,24340.0,24420.0,24333.47,24240.0,-0.49,-120.0
1,BCOLOMBIA ,2015-03-05,52958,1275188100.0,24000.0,24360.0,24079.23,24000.0,-1.4,-340.0
2,BCOLOMBIA ,2015-03-06,288249,6864754480.0,23300.0,24320.0,23815.36,23300.0,-2.92,-700.0
3,BCOLOMBIA ,2015-03-09,55319,1287932760.0,23000.0,23500.0,23281.92,23000.0,-1.29,-300.0
4,BCOLOMBIA ,2015-03-10,23448,543035280.0,23300.0,23300.0,23159.13,22860.0,1.3,300.0
5,BCOLOMBIA ,2015-03-11,45986,1054724600.0,22300.0,23520.0,22935.78,22300.0,-4.29,-1000.0
6,BCOLOMBIA ,2015-03-12,208933,4836627180.0,23400.0,23760.0,23149.18,22800.0,4.93,1100.0
7,BCOLOMBIA ,2015-03-13,72045,1720628220.0,23860.0,23960.0,23882.69,23700.0,1.97,460.0
8,BCOLOMBIA ,2015-03-16,105758,2588972180.0,24680.0,24680.0,24480.15,24220.0,3.44,820.0
9,BCOLOMBIA ,2015-03-17,79856,1965637720.0,24700.0,24740.0,24614.78,24480.0,0.08,20.0
10,BCOLOMBIA ,2015-03-18,206066,5112391780.0,25100.0,25100.0,24809.49,24500.0,1.62,400.0
11,BCOLOMBIA ,2015-03-19,173117,4343050460.0,25300.0,25300.0,25087.37,24800.0,0.8,200.0
12,BCOLOMBIA ,2015-03-20,134912,3342550340.0,25100.0,25100.0,24775.78,24500.0,-0.79,-200.0
13,BCOLOMBIA ,2015-03-24,417165,9913407900.0,23360.0,24220.0,23763.76,23360.0,-6.93,-1740.0
14,BCOLOMBIA ,2015-03-25,202665,4874516260.0,24480.0,24480.0,24052.09,23540.0,4.79,1120.0
15,BCOLOMBIA ,2015-03-26,99398,2380171480.0,23980.0,24000.0,23945.87,23820.0,-2.04,-500.0
16,BCOLOMBIA ,2015-03-27,78642,1869107200.0,23800.0,23840.0,23767.29,23720.0,-0.75,-180.0
17,BCOLOMBIA ,2015-03-30,52605,1262472460.0,23880.0,24100.0,23999.1,23880.0,0.34,80.0
18,BCOLOMBIA ,2015-03-31,188557,4612041040.0,24500.0,24500.0,24459.66,24280.0,2.6,620.0
19,BCOLOMBIA ,2015-04-01,125590,3090758660.0,24400.0,24980.0,24609.91,24400.0,-0.41,-100.0
20,BCOLOMBIA ,2015-04-06,106807,2688331640.0,25340.0,25340.0,25169.99,24900.0,3.85,940.0
21,BCOLOMBIA ,2015-04-07,60165,1516348060.0,25000.0,25340.0,25203.16,25000.0,-1.34,-340.0
22,BCOLOMBIA ,2015-04-08,171101,4276025260.0,24800.0,25100.0,24991.23,24800.0,-0.8,-200.0
23,BCOLOMBIA ,2015-04-09,28093,699478200.0,25040.0,25040.0,24898.67,24800.0,0.97,240.0
24,BCOLOMBIA ,2015-04-10,41886,1048945300.0,24980.0,25100.0,25042.86,24980.0,-0.24,-60.0
25,BCOLOMBIA ,2015-04-13,24344,611071240.0,25380.0,25380.0,25101.51,24980.0,1.6,400.0
26,BCOLOMBIA ,2015-04-14,139290,3539964400.0,25560.0,25600.0,25414.35,25300.0,0.71,180.0
27,BCOLOMBIA ,2015-04-15,57085,1471954440.0,25400.0,26000.0,25785.31,25400.0,-0.63,-160.0
28,BCOLOMBIA ,2015-04-16,56024,1426855220.0,25240.0,25560.0,25468.66,25240.0,-0.63,-160.0
29,BCOLOMBIA ,2015-04-17,75792,1912388120.0,25220.0,25400.0,25232.06,25080.0,-0.08,-20.0
